"Project","Issue Type","File Name","Element","Line No","Activity","Comment"
"app","No Content Description","app/src/main/res/layout/backup.xml","ImageView","13",,"android:contentDescription:null"
"app","Untouchable Target","app/src/main/res/layout/dialog_not_aokp_warning.xml","Button","57",,"android:layout_width:0dip"
"app","Untouchable Target","app/src/main/res/layout/dialog_not_aokp_warning.xml","Button","65",,"android:layout_width:0dip"
"app","No Content Description","app/src/main/res/layout/restore.xml","ImageView","12",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/backup_dialog.xml","EditText","31",,"android:contentDescription:null"
"app","Untouchable Target","app/src/main/res/layout/backup_dialog.xml","Button","52",,"android:layout_width:0dip"
"app","Untouchable Target","app/src/main/res/layout/backup_dialog.xml","Button","60",,"android:layout_width:0dip"
"","","","","","",""
